Year,Tariff regime(status),Type of product,Value
2011,Most-favoured-nation status,IND,1.50841
2011,Most-favoured-nation status,OIL,0.0
2011,Most-favoured-nation status,TEX,6.94097
2012,Most-favoured-nation status,AGR,10.17327
2012,Most-favoured-nation status,ALP,1.61055
2012,Most-favoured-nation status,ARM,1.07443
2012,Most-favoured-nation status,CLO,12.61698
2012,Most-favoured-nation status,IND,1.50683
2012,Most-favoured-nation status,OIL,0.0
2012,Most-favoured-nation status,TEX,6.91689
2013,Most-favoured-nation status,AGR,10.71739
2013,Most-favoured-nation status,ALP,1.60474
2013,Most-favoured-nation status,ARM,1.07443
2013,Most-favoured-nation status,CLO,12.60162
2013,Most-favoured-nation status,IND,1.50045
2013,Most-favoured-nation status,OIL,0.0
2013,Most-favoured-nation status,TEX,6.91172
2014,Most-favoured-nation status,AGR,10.77018
2014,Most-favoured-nation status,ALP,1.6071
2014,Most-favoured-nation status,ARM,1.07445
2014,Most-favoured-nation status,CLO,12.63986
2014,Most-favoured-nation status,IND,1.50251
2014,Most-favoured-nation status,OIL,0.0
2014,Most-favoured-nation status,TEX,6.89907
2015,Most-favoured-nation status,AGR,10.7474
2015,Most-favoured-nation status,ALP,1.7313
2015,Most-favoured-nation status,ARM,1.07445
2015,Most-favoured-nation status,CLO,12.54273
2015,Most-favoured-nation status,IND,1.62873
2015,Most-favoured-nation status,OIL,0.0
2015,Most-favoured-nation status,TEX,6.94045
2016,Most-favoured-nation status,AGR,10.76111
2016,Most-favoured-nation status,ALP,1.67528
2016,Most-favoured-nation status,ARM,1.0745
2016,Most-favoured-nation status,CLO,12.54212
2016,Most-favoured-nation status,IND,1.5719999999999998
2016,Most-favoured-nation status,OIL,0.0
2016,Most-favoured-nation status,TEX,6.9851
2017,Most-favoured-nation status,AGR,10.20863
2017,Most-favoured-nation status,ALP,1.88355
2017,Most-favoured-nation status,ARM,1.02403
2017,Most-favoured-nation status,CLO,12.39252
2017,Most-favoured-nation status,IND,1.78455
2017,Most-favoured-nation status,OIL,0.0
2017,Most-favoured-nation status,TEX,6.85683
2018,Most-favoured-nation status,AGR,10.81967
2018,Most-favoured-nation status,ALP,1.82196
2018,Most-favoured-nation status,ARM,1.07445
2018,Most-favoured-nation status,CLO,12.53384
2018,Most-favoured-nation status,IND,1.72025
2018,Most-favoured-nation status,OIL,0.0
2018,Most-favoured-nation status,TEX,6.98865
