Year,Developing country participation,Institution,Observation status,Unit multiplier,Unit measure,Value
2018,Voting rights in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),1.73487
2018,Voting rights in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.51813
2018,Voting rights in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.60976
2000,Membership in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),1.69492
2000,Membership in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.2987
2000,Membership in international organisations,InterAmerican Development Bank,Undefined,Units,Percentage (%),0
2000,Membership in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),0.54945
2000,Membership in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),0.57471
2000,Membership in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),0.5618
2000,Membership in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.5291
2000,Membership in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.71429
2005,Membership in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),1.5625
2005,Membership in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.2987
2005,Membership in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85185
2005,Membership in international organisations,InterAmerican Development Bank,Undefined,Units,Percentage (%),2.12766
2005,Membership in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),0.54348
2005,Membership in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),0.5618
2005,Membership in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),0.55249
2005,Membership in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.52356
2005,Membership in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.67114
2010,Membership in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),1.49254
2010,Membership in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.2987
2010,Membership in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85185
2010,Membership in international organisations,Financial Stability Board,Undefined,Units,Percentage (%),4.16667
2010,Membership in international organisations,InterAmerican Development Bank,Undefined,Units,Percentage (%),2.08333
2010,Membership in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),0.53476
2010,Membership in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),0.54945
2010,Membership in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),0.54945
2010,Membership in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.52083
2010,Membership in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.65359
2014,Membership in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.26582
2015,Membership in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),1.49254
2015,Membership in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.25
2015,Membership in international organisations,Financial Stability Board,Undefined,Units,Percentage (%),4.16667
2015,Membership in international organisations,InterAmerican Development Bank,Undefined,Units,Percentage (%),2.08333
2015,Membership in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),0.53191
2015,Membership in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),0.54348
2015,Membership in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),0.53191
2015,Membership in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.51813
2015,Membership in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.625
2016,Membership in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),1.493
2016,Membership in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.25
2016,Membership in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85185
2016,Membership in international organisations,Financial Stability Board,Undefined,Units,Percentage (%),4.16667
2016,Membership in international organisations,InterAmerican Development Bank,Undefined,Units,Percentage (%),2.08333
2016,Membership in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),0.53191
2016,Membership in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),0.54348
2016,Membership in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),0.53191
2016,Membership in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.51813
2016,Membership in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.61728
2017,Membership in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),1.493
2017,Membership in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.25
2017,Membership in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85185
2017,Membership in international organisations,Financial Stability Board,Undefined,Units,Percentage (%),4.16667
2017,Membership in international organisations,InterAmerican Development Bank,Undefined,Units,Percentage (%),2.08333
2017,Membership in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),0.5291
2017,Membership in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),0.54348
2017,Membership in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),0.5291
2017,Membership in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.51813
2017,Membership in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.60976
2018,Membership in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85185
2018,Membership in international organisations,Financial Stability Board,Undefined,Units,Percentage (%),4.16667
2018,Membership in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),0.5291
2018,Membership in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),0.54348
2018,Membership in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),0.5291
2018,Membership in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.51813
2018,Membership in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.60976
