Year,cause of death,SEX,Value
2004,Diseases of the circulatory system,FEMALE,126.2
2004,Diseases of the respiratory system,,29.5
2004,Diseases of the respiratory system,MALE,35.8
2004,Diseases of the respiratory system,FEMALE,23.2
2005,Malignant neoplasms,,134.6
2005,Malignant neoplasms,MALE,169.3
2005,Malignant neoplasms,FEMALE,99.7
2005,Diabetes mellitus,,24.3
2005,Diabetes mellitus,MALE,24.5
2005,Diabetes mellitus,FEMALE,24.2
2005,Diseases of the circulatory system,,116.5
2005,Diseases of the circulatory system,MALE,112.1
2005,Diseases of the circulatory system,FEMALE,120.9
2005,Diseases of the respiratory system,,29.4
2005,Diseases of the respiratory system,MALE,34.6
2005,Diseases of the respiratory system,FEMALE,24.2
2006,Malignant neoplasms,,134.8
2006,Malignant neoplasms,MALE,171.6
2006,Malignant neoplasms,FEMALE,97.9
2006,Diabetes mellitus,,23.8
2006,Diabetes mellitus,MALE,23.8
2006,Diabetes mellitus,FEMALE,23.8
2006,Diseases of the circulatory system,,115.6
2006,Diseases of the circulatory system,MALE,110.9
2006,Diseases of the circulatory system,FEMALE,120.3
2006,Diseases of the respiratory system,,29.3
2006,Diseases of the respiratory system,MALE,34.6
2006,Diseases of the respiratory system,FEMALE,24.0
2007,Malignant neoplasms,,138.1
2007,Malignant neoplasms,MALE,174.3
2007,Malignant neoplasms,FEMALE,101.8
2007,Diabetes mellitus,,23.1
2007,Diabetes mellitus,MALE,23.2
2007,Diabetes mellitus,FEMALE,22.9
2007,Diseases of the circulatory system,,118.0
2007,Diseases of the circulatory system,MALE,112.0
2007,Diseases of the circulatory system,FEMALE,124.0
2007,Diseases of the respiratory system,,30.5
2007,Diseases of the respiratory system,MALE,35.4
2007,Diseases of the respiratory system,FEMALE,25.5
2008,Malignant neoplasms,,139.5
2008,Malignant neoplasms,MALE,176.9
2008,Malignant neoplasms,FEMALE,101.9
2008,Diabetes mellitus,,20.7
2008,Diabetes mellitus,MALE,20.9
2008,Diabetes mellitus,FEMALE,20.5
2008,Diseases of the circulatory system,,112.3
2008,Diseases of the circulatory system,MALE,107.4
2008,Diseases of the circulatory system,FEMALE,117.1
2008,Diseases of the respiratory system,,32.4
2008,Diseases of the respiratory system,MALE,37.4
2008,Diseases of the respiratory system,FEMALE,27.4
2009,Malignant neoplasms,,140.5
2009,Malignant neoplasms,MALE,176.3
2009,Malignant neoplasms,FEMALE,104.6
2009,Diabetes mellitus,,19.6
2009,Diabetes mellitus,MALE,19.9
2009,Diabetes mellitus,FEMALE,19.4
2009,Diseases of the circulatory system,,109.2
2009,Diseases of the circulatory system,MALE,105.0
2009,Diseases of the circulatory system,FEMALE,113.5
2009,Diseases of the respiratory system,,34.3
2009,Diseases of the respiratory system,MALE,39.5
2009,Diseases of the respiratory system,FEMALE,29.0
2010,Malignant neoplasms,,114.4
2010,Malignant neoplasms,MALE,181.0
2010,Malignant neoplasms,FEMALE,107.8
2010,Diabetes mellitus,,20.7
2010,Diabetes mellitus,MALE,21.0
2010,Diabetes mellitus,FEMALE,20.5
2010,Diseases of the circulatory system,,112.5
2010,Diseases of the circulatory system,MALE,107.1
2010,Diseases of the circulatory system,FEMALE,118.0
2010,Diseases of the respiratory system,,37.1
2010,Diseases of the respiratory system,MALE,42.6
2010,Diseases of the respiratory system,FEMALE,31.7
2011,Malignant neoplasms,,142.8
2011,Malignant neoplasms,MALE,178.9
2011,Malignant neoplasms,FEMALE,106.7
2011,Diabetes mellitus,,21.5
2011,Diabetes mellitus,MALE,22.1
2011,Diabetes mellitus,FEMALE,20.9
2011,Diseases of the circulatory system,,113.5
2011,Diseases of the circulatory system,MALE,106.5
2011,Diseases of the circulatory system,FEMALE,120.5
2011,Diseases of the respiratory system,,39.8
2011,Diseases of the respiratory system,MALE,45.0
2011,Diseases of the respiratory system,FEMALE,34.6
2012,Malignant neoplasms,,146.5
2012,Malignant neoplasms,MALE,184.5
2012,Malignant neoplasms,FEMALE,108.5
2012,Diabetes mellitus,,23.0
2012,Diabetes mellitus,MALE,23.2
2012,Diabetes mellitus,FEMALE,22.7
2012,Diseases of the circulatory system,,117.1
2012,Diseases of the circulatory system,MALE,110.4
2012,Diseases of the circulatory system,FEMALE,123.8
2012,Diseases of the respiratory system,,45.2
2012,Diseases of the respiratory system,MALE,50.4
2012,Diseases of the respiratory system,FEMALE,40.1
2013,Malignant neoplasms,,149.0
2013,Malignant neoplasms,MALE,186.2
2013,Malignant neoplasms,FEMALE,111.8
2013,Diabetes mellitus,,21.5
2013,Diabetes mellitus,MALE,21.3
2013,Diabetes mellitus,FEMALE,21.8
2013,Diseases of the circulatory system,,113.1
2013,Diseases of the circulatory system,MALE,107.2
2013,Diseases of the circulatory system,FEMALE,119.0
2013,Diseases of the respiratory system,,44.5
2013,Diseases of the respiratory system,MALE,49.4
2013,Diseases of the respiratory system,FEMALE,39.6
2014,Malignant neoplasms,,150.9
2014,Malignant neoplasms,MALE,188.7
2014,Malignant neoplasms,FEMALE,113.2
2014,Diabetes mellitus,,20.7
2014,Diabetes mellitus,MALE,20.8
2014,Diabetes mellitus,FEMALE,20.7
2014,Diseases of the circulatory system,,113.9
2014,Diseases of the circulatory system,MALE,108.4
2014,Diseases of the circulatory system,FEMALE,119.4
2014,Diseases of the respiratory system,,47.6
2014,Diseases of the respiratory system,MALE,53.4
2014,Diseases of the respiratory system,FEMALE,41.8
2015,Malignant neoplasms,,150.8
2015,Malignant neoplasms,MALE,187.3
2015,Malignant neoplasms,FEMALE,114.4
2015,Diabetes mellitus,,20.7
2015,Diabetes mellitus,MALE,20.6
2015,Diabetes mellitus,FEMALE,20.8
2015,Diseases of the circulatory system,,116.9
2015,Diseases of the circulatory system,MALE,110.8
2015,Diseases of the circulatory system,FEMALE,122.9
2015,Diseases of the respiratory system,,54.6
2015,Diseases of the respiratory system,MALE,60.9
2015,Diseases of the respiratory system,FEMALE,48.2
2016,Malignant neoplasms,,153.0
2016,Malignant neoplasms,MALE,188.8
2016,Malignant neoplasms,FEMALE,117.2
2016,Diabetes mellitus,,19.2
2016,Diabetes mellitus,MALE,19.2
2016,Diabetes mellitus,FEMALE,19.2
2016,Diseases of the circulatory system,,118.1
2016,Diseases of the circulatory system,MALE,111.4
2016,Diseases of the circulatory system,FEMALE,124.9
2016,Diseases of the respiratory system,,57.5
2016,Diseases of the respiratory system,MALE,64.2
2016,Diseases of the respiratory system,FEMALE,50.8
2017,Malignant neoplasms,,153.9
2017,Malignant neoplasms,MALE,191.1
2017,Malignant neoplasms,FEMALE,116.9
2017,Diabetes mellitus,,17.9
2017,Diabetes mellitus,MALE,17.6
2017,Diabetes mellitus,FEMALE,18.2
2017,Diseases of the circulatory system,,119.6
2017,Diseases of the circulatory system,MALE,112.1
2017,Diseases of the circulatory system,FEMALE,127.0
2017,Diseases of the respiratory system,,63.7
2017,Diseases of the respiratory system,MALE,70.9
2017,Diseases of the respiratory system,FEMALE,56.6
2018,Malignant neoplasms,,154.3
2018,Malignant neoplasms,MALE,191.0
2018,Malignant neoplasms,FEMALE,117.7
2018,Diabetes mellitus,,17.1
2018,Diabetes mellitus,MALE,17.3
2018,Diabetes mellitus,FEMALE,17.0
2018,Diseases of the circulatory system,,122.7
2018,Diseases of the circulatory system,MALE,114.6
2018,Diseases of the circulatory system,FEMALE,130.8
2018,Diseases of the respiratory system,,73.6
2018,Diseases of the respiratory system,MALE,81.2
2018,Diseases of the respiratory system,FEMALE,66.1
